E (keV)	chYiel
0.000000	-nan
311.250000	51.785762
311.500000	51.783172
311.750000	51.780586
312.000000	51.778005
312.250000	51.775427
312.500000	51.772853
312.750000	51.770283
313.000000	51.767717
313.250000	51.765154
313.500000	51.762596
313.750000	51.760041
314.000000	51.757491
314.250000	51.754944
314.500000	51.752401
314.750000	51.749862
315.000000	51.747327
315.250000	51.744795
315.500000	51.742268
315.750000	51.739744
316.000000	51.737224
316.250000	51.734708
316.500000	51.732196
316.750000	51.729687
317.000000	51.727183
317.250000	51.724682
317.500000	51.722185
317.750000	51.719691
318.000000	51.717202
318.250000	51.714716
318.500000	51.712234
318.750000	51.709756
319.000000	51.707281
319.250000	51.704811
319.500000	51.702344
319.750000	51.699880
320.000000	51.697421
320.250000	51.694965
320.500000	51.692513
320.750000	51.690065
321.000000	51.687620
321.250000	51.685179
321.500000	51.682742
321.750000	51.680309
322.000000	51.677879
322.250000	51.675453
322.500000	51.673030
322.750000	51.670611
323.000000	51.668196
323.250000	51.665785
323.500000	51.663377
323.750000	51.660973
324.000000	51.658572
324.250000	51.656175
324.500000	51.653782
324.750000	51.651392
325.000000	51.649006
325.250000	51.646624
325.500000	51.644245
325.750000	51.641870
326.000000	51.639498
326.250000	51.637130
326.500000	51.634766
326.750000	51.632405
327.000000	51.630048
327.250000	51.627694
327.500000	51.625344
327.750000	51.622998
328.000000	51.620655
328.250000	51.618315
328.500000	51.615979
328.750000	51.613647
329.000000	51.611318
329.250000	51.608993
329.500000	51.606671
329.750000	51.604353
330.000000	51.602038
330.250000	51.599727
330.500000	51.597419
330.750000	51.595115
331.000000	51.592814
331.250000	51.590517
331.500000	51.588223
331.750000	51.585932
332.000000	51.583646
332.250000	51.581362
332.500000	51.579082
332.750000	51.576806
333.000000	51.574533
333.250000	51.572263
333.500000	51.569997
333.750000	51.567734
334.000000	51.565475
334.250000	51.563219
334.500000	51.560966
334.750000	51.558717
335.000000	51.556471
335.250000	51.554229
335.500000	51.551990
335.750000	51.549754
336.000000	51.547522
336.250000	51.545293
336.500000	51.543068
336.750000	51.540846
337.000000	51.538627
337.250000	51.536412
337.500000	51.534199
337.750000	51.531991
338.000000	51.529785
338.250000	51.527583
338.500000	51.525385
338.750000	51.523189
339.000000	51.520997
339.250000	51.518808
339.500000	51.516623
339.750000	51.514440
340.000000	51.512262
340.250000	51.510086
340.500000	51.507914
340.750000	51.505744
341.000000	51.503579
341.250000	51.501416
341.500000	51.499257
341.750000	51.497101
342.000000	51.494948
342.250000	51.492798
342.500000	51.490652
342.750000	51.488509
343.000000	51.486369
343.250000	51.484232
343.500000	51.482099
343.750000	51.479969
344.000000	51.477842
344.250000	51.475718
344.500000	51.473597
344.750000	51.471480
345.000000	51.469366
345.250000	51.467254
345.500000	51.465146
345.750000	51.463042
346.000000	51.460940
346.250000	51.458842
346.500000	51.456746
346.750000	51.454654
347.000000	51.452565
347.250000	51.450479
